																																																																																																																																																																																																									
																																																																																																																																																																																																									
																																																																																																																																																																																																									
																																																																																																																																																																																																									
																																																																																																																																																																																																									
Spectrum	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198	199	200	
																																																																																																																																																																																																									
																																																																																																																																																																																																									
Mass	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	
[u]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	[cps]	
																																																																																																																																																																																																									
																																																																																																																																																																																																									
229.0168	135660.0	134552.0	139328.0	140232.0	135056.0	136816.0	137768.0	129680.0	136716.0	138776.0	138424.0	135256.0	139728.0	134504.0	137820.0	133548.0	125862.0	135960.0	142144.0	137568.0	131336.0	140284.0	141388.0	136212.0	128524.0	132240.0	125560.0	137116.0	133500.0	138272.0	136364.0	138524.0	134504.0	132492.0	130484.0	134100.0	125258.0	139176.0	133296.0	133848.0	125912.0	136260.0	127620.0	135760.0	136060.0	139128.0	145812.0	134000.0	134704.0	140684.0	131688.0	134352.0	135308.0	132944.0	130384.0	138624.0	138120.0	137768.0	130886.0	130132.0	125762.0	129178.0	129228.0	128374.0	132996.0	130284.0	135356.0	133448.0	137068.0	129378.0	134352.0	132996.0	133096.0	134000.0	130786.0	133900.0	137820.0	138020.0	133700.0	129078.0	134904.0	125762.0	129630.0	136664.0	130584.0	130132.0	140532.0	140232.0	142292.0	138776.0	134904.0	135408.0	135308.0	139728.0	139580.0	138572.0	135356.0	140080.0	139832.0	135608.0	136964.0	126666.0	139428.0	133800.0	137116.0	139128.0	136964.0	137568.0	134756.0	136212.0	136060.0	137720.0	143752.0	138524.0	136864.0	131540.0	132844.0	128122.0	137016.0	134304.0	138824.0	145056.0	139276.0	131840.0	133196.0	137972.0	141188.0	136412.0	132040.0	138072.0	136312.0	137920.0	128726.0	138524.0	141236.0	140484.0	137268.0	139780.0	132896.0	137116.0	139680.0	137116.0	136412.0	131188.0	139880.0	140532.0	142192.0	142192.0	143900.0	134552.0	136916.0	140432.0	136816.0	135056.0	141940.0	137468.0	137872.0	134000.0	138776.0	140636.0	142596.0	142496.0	139428.0	137972.0	139980.0	132644.0	136160.0	142596.0	133500.0	131336.0	135760.0	138724.0	137368.0	133500.0	133396.0	136764.0	135608.0	132444.0	139480.0	136664.0	137116.0	134652.0	129830.0	141740.0	140384.0	136464.0	137872.0	140332.0	141940.0	137520.0	137416.0	134604.0	138924.0	135860.0	140484.0	139932.0	137568.0	130986.0	133900.0	131236.0	
229.0242	134856.0	135056.0	128826.0	133800.0	135960.0	137416.0	133196.0	136664.0	141940.0	132444.0	131640.0	135960.0	133848.0	133196.0	133448.0	136212.0	131388.0	131488.0	134200.0	137268.0	140684.0	128726.0	131388.0	135560.0	138020.0	138172.0	135508.0	134604.0	132796.0	136612.0	130584.0	132644.0	123802.0	129078.0	138272.0	133044.0	134804.0	131436.0	135004.0	135004.0	135608.0	133900.0	128324.0	136060.0	133148.0	134804.0	138624.0	138472.0	135912.0	130534.0	132140.0	139628.0	130886.0	131488.0	142292.0	126616.0	135356.0	129028.0	133952.0	131992.0	137068.0	129228.0	131688.0	130434.0	136464.0	132140.0	130886.0	128524.0	132996.0	126566.0	135356.0	131236.0	134956.0	133648.0	129228.0	131236.0	136312.0	136764.0	129480.0	134052.0	136364.0	133196.0	132392.0	138776.0	136412.0	138072.0	133500.0	130686.0	139680.0	143196.0	139580.0	135308.0	134352.0	139228.0	132796.0	139728.0	138120.0	136412.0	136964.0	136364.0	140332.0	131892.0	128224.0	141488.0	135408.0	133952.0	134856.0	137668.0	138372.0	139376.0	134552.0	131236.0	133248.0	135560.0	139832.0	135056.0	132544.0	133044.0	134804.0	140184.0	137016.0	129530.0	135208.0	136112.0	140132.0	132844.0	134552.0	131992.0	130082.0	135408.0	138572.0	140532.0	133148.0	139580.0	136512.0	140432.0	140584.0	135108.0	138324.0	139480.0	133448.0	139480.0	141136.0	131992.0	136964.0	136612.0	135408.0	140232.0	140132.0	134552.0	142544.0	138072.0	138572.0	136916.0	134200.0	136612.0	136312.0	131388.0	135256.0	138572.0	143448.0	142596.0	136312.0	136412.0	133648.0	141540.0	136764.0	138072.0	139932.0	135808.0	135256.0	134804.0	130786.0	139932.0	137520.0	126916.0	128726.0	136160.0	132392.0	139628.0	136212.0	136312.0	135860.0	132092.0	134452.0	134504.0	134404.0	137720.0	138372.0	134956.0	152148.0	142644.0	133348.0	137620.0	135860.0	135108.0	142696.0	132996.0	137972.0	136564.0	
229.0316	140484.0	138472.0	137368.0	133748.0	138876.0	137620.0	134404.0	137568.0	141992.0	132592.0	136112.0	135456.0	135560.0	129932.0	130986.0	132344.0	138372.0	127268.0	136564.0	136664.0	142496.0	135004.0	135608.0	139428.0	125460.0	134856.0	136160.0	136512.0	134052.0	129580.0	132192.0	131436.0	133900.0	134804.0	136764.0	133952.0	135760.0	130986.0	131992.0	135456.0	131588.0	134404.0	133044.0	129428.0	134352.0	127268.0	134652.0	135912.0	134504.0	138324.0	128524.0	137768.0	131188.0	130534.0	131488.0	135004.0	141640.0	136716.0	139980.0	136012.0	130132.0	133748.0	134804.0	134804.0	132140.0	137368.0	129028.0	134352.0	127822.0	135408.0	135356.0	140636.0	136060.0	137820.0	127770.0	132644.0	135408.0	135256.0	130384.0	130384.0	126816.0	131688.0	128474.0	136012.0	133248.0	124706.0	137068.0	127318.0	132392.0	137820.0	138020.0	141540.0	135056.0	135004.0	133900.0	139480.0	142596.0	135960.0	138676.0	141740.0	134252.0	135760.0	132392.0	141488.0	138924.0	136212.0	134652.0	128022.0	133096.0	137316.0	134252.0	141840.0	135912.0	141588.0	135208.0	132040.0	139428.0	132996.0	138072.0	129480.0	136060.0	133952.0	144604.0	141940.0	137568.0	135408.0	128574.0	138624.0	134200.0	138120.0	139680.0	135608.0	144908.0	138624.0	138020.0	139780.0	141588.0	135456.0	135056.0	137116.0	136212.0	128324.0	143500.0	136664.0	143096.0	137620.0	141340.0	143148.0	136012.0	133148.0	140132.0	129882.0	135912.0	138372.0	134452.0	136012.0	142292.0	136060.0	136412.0	139832.0	144504.0	138624.0	137972.0	132240.0	136364.0	133296.0	136112.0	129480.0	139228.0	140080.0	135660.0	139880.0	130534.0	134604.0	131940.0	139228.0	134704.0	132544.0	146164.0	132744.0	136312.0	131788.0	131540.0	132140.0	135004.0	141640.0	133700.0	143348.0	133396.0	134052.0	131992.0	136916.0	134352.0	141992.0	135208.0	140636.0	140884.0	136160.0	143196.0	136512.0	
229.0390	133248.0	138524.0	130032.0	136160.0	135660.0	137720.0	133952.0	141688.0	136464.0	132492.0	129278.0	130232.0	132140.0	140584.0	130434.0	136260.0	128926.0	133648.0	132644.0	136716.0	145812.0	138472.0	133448.0	136964.0	127520.0	132492.0	137268.0	128274.0	132644.0	129328.0	136012.0	138472.0	140384.0	137620.0	139328.0	134804.0	137116.0	134052.0	142796.0	134052.0	137920.0	130786.0	133196.0	131488.0	137720.0	131336.0	136012.0	132592.0	132644.0	132240.0	134152.0	131436.0	127972.0	140132.0	137116.0	135660.0	124908.0	133348.0	132944.0	134552.0	130534.0	131336.0	134856.0	129428.0	130182.0	133548.0	130032.0	133848.0	140132.0	128826.0	129530.0	133096.0	130484.0	133848.0	133296.0	132492.0	134652.0	129932.0	131588.0	128676.0	130686.0	135708.0	133648.0	136060.0	131940.0	135608.0	131788.0	135456.0	138472.0	138724.0	133600.0	139428.0	141236.0	133148.0	138924.0	133096.0	131436.0	139128.0	128374.0	134856.0	136464.0	140432.0	138724.0	134704.0	136512.0	129780.0	134100.0	136864.0	138676.0	135660.0	132844.0	134756.0	135608.0	136464.0	136512.0	145160.0	132744.0	137068.0	139276.0	132292.0	139780.0	135960.0	135456.0	142596.0	131036.0	137468.0	132744.0	135912.0	139376.0	136816.0	134100.0	144252.0	133248.0	143196.0	141792.0	135860.0	137620.0	137520.0	133348.0	133096.0	134856.0	138524.0	138624.0	138120.0	145712.0	138072.0	143652.0	140736.0	134404.0	143196.0	140384.0	139880.0	132240.0	134352.0	137568.0	137216.0	137872.0	137920.0	134804.0	136364.0	140484.0	128926.0	142744.0	140736.0	133044.0	137820.0	135056.0	141340.0	146364.0	136312.0	137216.0	138876.0	136916.0	135760.0	140184.0	135808.0	130584.0	136212.0	139480.0	128626.0	132844.0	136612.0	141740.0	147168.0	139528.0	138072.0	133044.0	142192.0	136060.0	132896.0	139580.0	140184.0	138624.0	139128.0	143400.0	138976.0	132040.0	134704.0	137468.0	135056.0	
